Feature,Source Repository,Current Location,Category,Migration Target,Priority,Status
go-dork-master Integration,go-dork-master,Repos/go-dork-master,Go,Reconx_V_2.0.0/modules/go-dork-master,Medium,Pending
Gxss-master Integration,Gxss-master,Repos/Gxss-master,Go,Reconx_V_2.0.0/modules/gxss-master,Medium,Pending
Infeagle-Recon-main Integration,Infeagle-Recon-main,Repos/Infeagle-Recon-main,Python,Reconx_V_2.0.0/modules/infeagle-recon-main,Medium,Pending
inql-master Integration,inql-master,Repos/inql-master,JavaScript/TypeScript,Reconx_V_2.0.0/modules/inql-master,Medium,Pending
JSFScan.sh-master Integration,JSFScan.sh-master,Repos/JSFScan.sh-master,Shell,Reconx_V_2.0.0/modules/jsfscan.sh-master,Medium,Pending
JShunter-main Integration,JShunter-main,Repos/JShunter-main,Go,Reconx_V_2.0.0/modules/jshunter-main,Medium,Pending
magicRecon-master Integration,magicRecon-master,Repos/magicRecon-master,Shell,Reconx_V_2.0.0/modules/magicrecon-master,Medium,Pending
metabigor-main Integration,metabigor-main,Repos/metabigor-main,Go,Reconx_V_2.0.0/modules/metabigor-main,Medium,Pending
METATRON-main Integration,METATRON-main,Repos/METATRON-main,Python,Reconx_V_2.0.0/modules/metatron-main,Medium,Pending
metlo-develop Integration,metlo-develop,Repos/metlo-develop,Go,Reconx_V_2.0.0/modules/metlo-develop,Medium,Pending
MottaHunter-main Integration,MottaHunter-main,Repos/MottaHunter-main,Python,Reconx_V_2.0.0/modules/mottahunter-main,Medium,Pending
portwave-main Integration,portwave-main,Repos/portwave-main,Shell,Reconx_V_2.0.0/modules/portwave-main,Medium,Pending
ppfuzz-master Integration,ppfuzz-master,Repos/ppfuzz-master,JavaScript/TypeScript,Reconx_V_2.0.0/modules/ppfuzz-master,Medium,Pending
ppmap-main Integration,ppmap-main,Repos/ppmap-main,Go,Reconx_V_2.0.0/modules/ppmap-main,Medium,Pending
Probe-main Integration,Probe-main,Repos/Probe-main,Python,Reconx_V_2.0.0/modules/probe-main,Medium,Pending
programs-watcher-main Integration,programs-watcher-main,Repos/programs-watcher-main,Python,Reconx_V_2.0.0/modules/programs-watcher-main,Medium,Pending
RecoMation-main Integration,RecoMation-main,Repos/RecoMation-main,Shell,Reconx_V_2.0.0/modules/recomation-main,Medium,Pending
recon-ng-master Integration,recon-ng-master,Repos/recon-ng-master,Python,Reconx_V_2.0.0/modules/recon-ng-master,Medium,Pending
Recon88r-main Integration,Recon88r-main,Repos/Recon88r-main,Python,Reconx_V_2.0.0/modules/recon88r-main,Medium,Pending
ReconDorker-main Integration,ReconDorker-main,Repos/ReconDorker-main,Python,Reconx_V_2.0.0/modules/recondorker-main,Medium,Pending
reconftw-main Integration,reconftw-main,Repos/reconftw-main,Shell,Reconx_V_2.0.0/modules/reconftw-main,Medium,Pending
Reconky-Automated_Bash_Script-main Integration,Reconky-Automated_Bash_Script-main,Repos/Reconky-Automated_Bash_Script-main,Shell,Reconx_V_2.0.0/modules/reconky-automated_bash_script-main,Medium,Pending
ReconX Integration,ReconX,Repos/ReconX,Python,Reconx_V_2.0.0/modules/reconx,Medium,Pending
Red-Team-OSINT-main Integration,Red-Team-OSINT-main,Repos/Red-Team-OSINT-main,Python,Reconx_V_2.0.0/modules/red-team-osint-main,Medium,Pending
s3cXSSer-main Integration,s3cXSSer-main,Repos/s3cXSSer-main,JavaScript/TypeScript,Reconx_V_2.0.0/modules/s3cxsser-main,Medium,Pending
scan4all-main Integration,scan4all-main,Repos/scan4all-main,Go,Reconx_V_2.0.0/modules/scan4all-main,Medium,Pending
ScopeSentry-main Integration,ScopeSentry-main,Repos/ScopeSentry-main,Go,Reconx_V_2.0.0/modules/scopesentry-main,Medium,Pending
secfiles-main Integration,secfiles-main,Repos/secfiles-main,Shell,Reconx_V_2.0.0/modules/secfiles-main,Medium,Pending
shortscan-main Integration,shortscan-main,Repos/shortscan-main,Go,Reconx_V_2.0.0/modules/shortscan-main,Medium,Pending
Web-Recon-Automation-main Integration,Web-Recon-Automation-main,Repos/Web-Recon-Automation-main,Shell,Reconx_V_2.0.0/modules/web-recon-automation-main,Medium,Pending
WEBFANG-main Integration,WEBFANG-main,Repos/WEBFANG-main,Python,Reconx_V_2.0.0/modules/webfang-main,Medium,Pending
yataf-master Integration,yataf-master,Repos/yataf-master,Go,Reconx_V_2.0.0/modules/yataf-master,Medium,Pending
